gene,inMod
ENSDARG00000095106,0
ENSDARG00000093865,0
ENSDARG00000101245,0
ENSDARG00000103694,0
ENSDARG00000086720,0
ENSDARG00000092000,0
ENSDARG00000096172,0
ENSDARG00000102939,0
ENSDARG00000087645,0
ENSDARG00000102922,0
ENSDARG00000093041,0
ENSDARG00000093615,0
ENSDARG00000096157,0
ENSDARG00000096215,0
ENSDARG00000086130,0
ENSDARG00000070299,0
ENSDARG00000088523,0
ENSDARG00000088142,0
ENSDARG00000088616,0
ENSDARG00000095200,0
ENSDARG00000090160,0
ENSDARG00000091561,0
ENSDARG00000088961,0
ENSDARG00000101853,0
ENSDARG00000094902,0
ENSDARG00000094034,0
ENSDARG00000098743,0
ENSDARG00000094177,0
ENSDARG00000077220,0
ENSDARG00000092329,0
ENSDARG00000093106,0
ENSDARG00000102735,0
ENSDARG00000101729,0
ENSDARG00000100311,0
ENSDARG00000104160,0
ENSDARG00000100578,0
ENSDARG00000098406,0
ENSDARG00000096139,0
ENSDARG00000102994,0
ENSDARG00000105137,0
ENSDARG00000095414,0
ENSDARG00000098839,0
ENSDARG00000102581,0
ENSDARG00000098879,0
ENSDARG00000100076,0
ENSDARG00000101292,0
ENSDARG00000100590,0
ENSDARG00000098610,0
ENSDARG00000102635,0
ENSDARG00000099751,0
ENSDARG00000098371,0
ENSDARG00000103257,0
ENSDARG00000104048,0
ENSDARG00000104496,0
ENSDARG00000100068,0
ENSDARG00000102030,0
ENSDARG00000103292,0
ENSDARG00000099825,0
ENSDARG00000102215,0
ENSDARG00000099193,0
ENSDARG00000104968,0
ENSDARG00000102613,0
ENSDARG00000103213,0
ENSDARG00000103420,0
ENSDARG00000101469,0
ENSDARG00000102695,0
ENSDARG00000101997,0
ENSDARG00000099641,0
ENSDARG00000103680,0
ENSDARG00000103031,0
ENSDARG00000098430,0
ENSDARG00000099670,0
ENSDARG00000101213,0
ENSDARG00000101517,0
ENSDARG00000102455,0
ENSDARG00000104745,0
ENSDARG00000099845,0
ENSDARG00000098585,0
ENSDARG00000102289,0
ENSDARG00000099046,0
ENSDARG00000100750,0
ENSDARG00000103119,0
ENSDARG00000103417,0
ENSDARG00000101137,0
ENSDARG00000100777,0
ENSDARG00000099355,0
ENSDARG00000104804,0
ENSDARG00000104124,0
ENSDARG00000103721,0
ENSDARG00000087544,0
ENSDARG00000103636,0
ENSDARG00000103208,0
