kegg	gene
dre00270	406330
dre00270	406405
dre00270	406688
dre00270	431773
dre00270	436747
dre00270	436949
dre00270	447941
dre00270	450084
dre00270	541347
dre00270	550524
dre00270	553187
dre00270	553189
dre00270	554736
dre00270	561410
dre00270	563642
dre00270	619269
dre00270	678634
dre00270	791167
dre00270	791612
dre00270	792097
dre00270	796025
dre00270	798918
dre00270	80872
dre00280	100000026
dre00280	100000859
dre00280	100004018
dre00280	100005587
dre00280	103910021
dre00280	30643
dre00280	323653
dre00280	334197
dre00280	336606
dre00280	337166
dre00280	337412
dre00280	368239
dre00280	368775
dre00280	368912
dre00280	378968
dre00280	393462
dre00280	393984
dre00280	394060
dre00280	394130
dre00280	394135
dre00280	394190
dre00280	399479
dre00280	399481
dre00280	405861
dre00280	405863
dre00280	406283
dre00280	406325
dre00280	431754
dre00280	436647
dre00280	436949
dre00280	437019
dre00280	442923
dre00280	445121
dre00280	445182
dre00280	445288
dre00280	445290
dre00280	447920
dre00280	450078
dre00280	492710
dre00280	541388
dre00280	553401
dre00280	553804
dre00280	554124
dre00280	560273
dre00280	562292
dre00280	569581
dre00280	569980
dre00280	570457
dre00280	571388
dre00280	619269
dre00280	64265
dre00280	777632
dre00280	793834
dre00280	798364
dre00290	100331665
dre00290	337412
dre00290	436949
dre00290	563642
dre00300	334197
dre00300	557979
dre00310	100000026
dre00310	100000709
dre00310	100000859
dre00310	100003546
dre00310	100003615
dre00310	100004770
dre00310	100005587
dre00310	100005761
dre00310	100006350
dre00310	100036767
dre00310	100536523
dre00310	101886516
dre00310	30643
dre00310	323653
dre00310	325395
dre00310	326906
dre00310	334197
dre00310	335153
dre00310	337193
dre00310	368239
dre00310	368262
dre00310	368912
dre00310	393462
dre00310	393860
dre00310	399481
dre00310	402830
dre00310	436729
dre00310	445121
dre00310	445198
dre00310	445290
dre00310	447920
dre00310	450003
dre00310	492710
dre00310	553401
dre00310	555271
dre00310	556077
dre00310	556086
dre00310	556229
dre00310	556535
dre00310	557048
dre00310	557979
dre00310	558068
dre00310	558601
dre00310	559207
dre00310	559560
dre00310	559635
dre00310	559945
dre00310	560793
dre00310	560856
dre00310	563799
dre00310	564552
dre00310	564575
dre00310	565862
dre00310	566825
dre00310	567859
dre00310	567970
dre00310	569041
dre00310	569250
dre00310	571274
dre00310	572649
dre00310	572849
